"Name","Tmin","Tmax"
"Temp1","2022-12-01",-2.5
"Temp1","2022-12-02",-1.9
"Temp1","2022-12-03",-2
"Temp1","2022-12-04",2.9
"Temp1","2022-12-05",7.2
"Temp1","2022-12-06",6.4
"Temp1","2022-12-07",0.7
"Temp1","2022-12-08",0.5
"Temp1","2022-12-09",2.4
"Temp1","2022-12-10",3.1
"Temp1","2022-12-11",5.7
"Temp1","2022-12-12",2.4
"Temp1","2022-12-13",-0.7
"Temp1","2022-12-14",-1.5
"Temp1","2022-12-15",-1.3
"Temp1","2022-12-16",-1.7
"Temp1","2022-12-17",-2.5
"Temp1","2022-12-18",-2.9
"Temp1","2022-12-19",-2.6
"Temp1","2022-12-20",0.4
"Temp1","2022-12-21",3.8
"Temp1","2022-12-22",5.6
"Temp1","2022-12-23",5.6
"Temp1","2022-12-24",4.4
"Temp1","2022-12-25",5.6
"Temp1","2022-12-26",5.9
"Temp1","2022-12-27",6.9
