,,,,,,"// 049684			precip	39.4194		-123.3425		1353","// 047109			precip	39.3619		-123.1286		1018","// 049122			precip	39.1466		-123.2102		636","// 049126			precip	39.1266		-123.2719		1328","// 041838			precip	38.793		-123.0263		400","// 043875			precip	38.6294		-122.8665		177","// 041312			precip	38.5768		-122.5781		350","// 043191			precip	38.515		-123.2447		112","// 043578			precip	38.4305		-122.8647		200","// 046370			precip	38.3858		-122.9661		865","// 049684			tmax	39.4194		-123.3425		1353","// 047109			tmax	39.3619		-123.1286		1018","// 049122			tmax	39.1466		-123.2102		636","// 049126			tmax	39.1266		-123.2719		1328","// 041838			tmax	38.793		-123.0263		400","// 043875			tmax	38.6294		-122.8665		177","// 041312			tmax	38.5768		-122.5781		350","// 043191			tmax	38.515		-123.2447		112","// 043578			tmax	38.4305		-122.8647		200","// 046370			tmax	38.3858		-122.9661		865","// 049684			tmin	39.4194		-123.3425		1353","// 047109			tmin	39.3619		-123.1286		1018","// 049122			tmin	39.1466		-123.2102		636","// 049126			tmin	39.1266		-123.2719		1328","// 041838			tmin	38.793		-123.0263		400","// 043875			tmin	38.6294		-122.8665		177","// 041312			tmin	38.5768		-122.5781		350","// 043191			tmin	38.515		-123.2447		112","// 043578			tmin	38.4305		-122.8647		200","// 046370			tmin	38.3858		-122.9661		865"
2021,11,1,0,0,0,-999,13.716,-999,0.508,3.048,23.114,0.762,-999,-999,-999,-999,14.444445,-999,-999,16.11111,15.555555,15,-999,-999,-999,-999,12.222222,-999,-999,11.666667,12.777778,12.222222,-999,-999,-999
2021,11,2,0,0,0,-999,3.302,-999,13.97,13.97,0.254,10.414,-999,-999,-999,-999,20.555555,-999,-999,17.777779,20,15,-999,-999,-999,-999,7.7777777,-999,-999,10.555555,11.111111,10,-999,-999,-999
2021,11,3,0,0,0,-999,-999,-999,-999,0,3.302,0,-999,-999,-999,-999,-999,-999,-999,19.444445,23.333334,20.555555,-999,-999,-999,-999,-999,-999,-999,7.7777777,8.888889,7.2222223,-999,-999,-999
2021,11,4,0,0,0,-999,10.922,-999,9.144,7.112,5.334,7.366,-999,-999,-999,-999,22.222221,-999,-999,22.222221,20.555555,23.88889,-999,-999,-999,-999,5,-999,-999,8.888889,9.444445,6.6666665,-999,-999,-999
2021,11,5,0,0,0,-999,-999,-999,2.794,0,0.254,0,-999,-999,-999,-999,-999,-999,-999,18.333334,18.333334,20,-999,-999,-999,-999,-999,-999,-999,7.2222223,6.6666665,6.6666665,-999,-999,-999
2021,11,6,0,0,0,-999,0,-999,-999,0,0.508,0,-999,-999,-999,-999,15.555555,-999,-999,16.666666,16.666666,16.666666,-999,-999,-999,-999,8.333333,-999,-999,2.7777777,7.7777777,5.5555553,-999,-999,-999
2021,11,7,0,0,0,-999,-999,-999,0,5.08,0.254,0,-999,-999,-999,-999,-999,-999,-999,15.555555,17.777779,16.11111,-999,-999,-999,-999,-999,-999,-999,7.7777777,3.8888888,2.7777777,-999,-999,-999
2021,11,8,0,0,0,-999,0,-999,-999,0,29.464,0,-999,-999,-999,-999,14.444445,-999,-999,15.555555,18.333334,17.222221,-999,-999,-999,-999,0.5555556,-999,-999,10,3.3333333,2.2222223,-999,-999,-999
2021,11,9,0,0,0,-999,46.482,-999,28.448,0,18.034,34.29,-999,-999,-999,-999,16.666666,-999,-999,20,16.666666,18.333334,-999,-999,-999,-999,7.2222223,-999,-999,10,7.7777777,2.2222223,-999,-999,-999
2021,11,10,0,0,0,-999,0,-999,0.254,33.02,0.508,4.826,-999,-999,-999,-999,18.333334,-999,-999,23.333334,20,15,-999,-999,-999,-999,6.6666665,-999,-999,8.888889,10,11.111111,-999,-999,-999
2021,11,11,0,0,0,-999,0.254,-999,-999,2.54,0.254,0,-999,-999,-999,-999,22.222221,-999,-999,23.333334,25.555555,18.88889,-999,-999,-999,-999,6.111111,-999,-999,8.888889,7.7777777,7.2222223,-999,-999,-999
2021,11,12,0,0,0,-999,0.254,-999,-999,0,0.254,0,-999,-999,-999,-999,23.333334,-999,-999,23.333334,24.444445,23.88889,-999,-999,-999,-999,6.111111,-999,-999,8.333333,9.444445,7.2222223,-999,-999,-999
2021,11,13,0,0,0,-999,0,-999,-999,0,0.254,0,-999,-999,-999,-999,23.88889,-999,-999,24.444445,24.444445,23.88889,-999,-999,-999,-999,4.4444447,-999,-999,7.7777777,7.2222223,7.7777777,-999,-999,-999
2021,11,14,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,23.88889,-999,-999,23.333334,18.333334,25,-999,-999,-999,-999,5.5555553,-999,-999,8.333333,8.888889,7.7777777,-999,-999,-999
2021,11,15,0,0,0,-999,0,-999,-999,0,0.254,0,-999,-999,-999,-999,23.88889,-999,-999,18.333334,14.444445,22.222221,-999,-999,-999,-999,6.6666665,-999,-999,8.333333,11.666667,8.333333,-999,-999,-999
2021,11,16,0,0,0,-999,0.254,-999,-999,0,0,0,-999,-999,-999,-999,19.444445,-999,-999,21.11111,21.11111,16.11111,-999,-999,-999,-999,6.111111,-999,-999,9.444445,10,10,-999,-999,-999
2021,11,17,0,0,0,-999,0,-999,-999,0,0.254,-999,-999,-999,-999,-999,19.444445,-999,-999,19.444445,20,-999,-999,-999,-999,-999,2.2222223,-999,-999,6.111111,6.111111,-999,-999,-999,-999
2021,11,18,0,0,0,-999,1.016,-999,-999,0,0.254,-999,-999,-999,-999,-999,16.666666,-999,-999,15,14.444445,-999,-999,-999,-999,-999,5,-999,-999,6.111111,6.111111,-999,-999,-999,-999
2021,11,19,0,0,0,-999,4.318,-999,9.144,1.27,1.524,-999,-999,-999,-999,-999,16.11111,-999,-999,15.555555,15,-999,-999,-999,-999,-999,9.444445,-999,-999,9.444445,10.555555,-999,-999,-999,-999
2021,11,20,0,0,0,-999,0,-999,0.254,0.508,0.254,-999,-999,-999,-999,-999,17.222221,-999,-999,13.888889,22.222221,-999,-999,-999,-999,-999,6.6666665,-999,-999,6.6666665,6.6666665,-999,-999,-999,-999
2021,11,21,0,0,0,-999,0.254,-999,-999,0,0,-999,-999,-999,-999,-999,20,-999,-999,19.444445,22.777779,-999,-999,-999,-999,-999,-0.5555556,-999,-999,3.3333333,3.3333333,-999,-999,-999,-999
2021,11,22,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,21.11111,-999,-999,20.555555,21.666666,-999,-999,-999,-999,-999,5.68E-14,-999,-999,2.2222223,3.3333333,-999,-999,-999,-999
2021,11,23,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,21.11111,-999,-999,20,20,-999,-999,-999,-999,-999,5,-999,-999,2.2222223,4.4444447,-999,-999,-999,-999
2021,11,24,0,0,0,-999,0.254,-999,-999,0,0,-999,-999,-999,-999,-999,18.333334,-999,-999,18.333334,22.222221,-999,-999,-999,-999,-999,-1.6666666,-999,-999,2.2222223,4.4444447,-999,-999,-999,-999
2021,11,25,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,17.222221,-999,-999,21.11111,19.444445,-999,-999,-999,-999,-999,-1.1111112,-999,-999,0.5555556,2.2222223,-999,-999,-999,-999
2021,11,26,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,17.777779,-999,-999,18.333334,20.555555,-999,-999,-999,-999,-999,1.6666666,-999,-999,2.2222223,3.8888888,-999,-999,-999,-999
2021,11,27,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,20.555555,-999,-999,19.444445,21.666666,-999,-999,-999,-999,-999,3.8888888,-999,-999,5,5.5555553,-999,-999,-999,-999
2021,11,28,0,0,0,-999,0,-999,-999,0,-999,-999,-999,-999,-999,-999,22.777779,-999,-999,22.777779,-999,-999,-999,-999,-999,-999,5,-999,-999,8.333333,-999,-999,-999,-999,-999
2021,11,29,0,0,0,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,22.777779,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.7777777,-999,-999,-999,-999,-999
